contestant,season_name,season_number,original_tribe,original_tribe_color
Sonja Christopher,Survivor: Borneo,,,
64,"Bill ""B.B."" Andersen",,,
27,Stacey Stillman,,,
29,Ramona Gray,,,
23,Dirk Been,,,
27,Joel Klug,,,
38,Gretchen Cordy,,,
24,Greg Buis,,,
22,Jenna Lewis,,,
30,Gervase Peterson,,,
23,Colleen Haskell,,,
30,Sean Kenniff,,,
38,Sue Hawk,,,
72,Rudy Boesch,,,
22,Kelly Wiglesworth,,,
39,Richard Hatch,,,
Debb Eaton,Survivor: The Australian Outback,,,
32,Kel Gleason,,,
51,"Maralyn ""Mad Dog"" Hershey",,,
23,Mitchell Olson,,,
28,Kimmi Kappenberg,,,
38,Michael Skupin,,,
34,Jeff Varner,,,
32,Alicia Calaway,,,
30,Jerri Manthey,,,
23,Nick Brown,,,
22,Amber Brkich,,,
53,Rodger Bingham,,,
23,Elisabeth Filarski,,,
40,Keith Famie,,,
26,Colby Donaldson,,,
39,Tina Wesson,,,
Diane Ogden,Survivor: Africa,,,
27,"Yesenia ""Jessie"" Camacho",,,
46,Carl Bilancione,,,
44,Linda Spencer,,,
23,Silas Gaither,,,
27,Lindsey Richter,,,
24,Clarence Black,,,
22,Kelly Goldsmith,,,
25,Brandon Quinton,,,
43,Frank Garrison,,,
29,"Kimberly ""Kim"" Powers",,,
42,Teresa Cooper,,,
46,"Tom ""Big Tom"" Buchanan",,,
38,"Alexis ""Lex"" van den Berghe",,,
57,Kim Johnson,,,
27,Ethan Zohn,,,
Peter Harkey,Survivor: Marquesas,,,
49,Patricia Jackson,,,
33,Hunter Ellis,,,
24,Sarah Jones,,,
23,"Gabriel ""Gabe"" Cade",,,
28,Gina Crews,,,
26,"Robert ""Rob"" Mariano",,,
36,John Carroll,,,
35,Zoe Zanidakis,,,
29,Tammy Leitner,,,
38,"Robert ""The General"" DeCanio",,,
30,Sean Rector,,,
57,"Paschal ""Pappy"" English",,,
47,"Kathleen ""Kathy"" Vavrick-O'Brien",,,
21,Neleh Dennis,,,
36,Vecepia Towery,,,
John Raymond,Survivor: Thailand,,,
27,Tanya Vance,,,
25,Jed Hildebrand,,,
33,Ghandia Johnson,,,
29,Stephanie Dill,,,
23,"Robert ""Robb"" Zbacnik",,,
28,Shii Ann Huang,,,
26,Erin Collins,,,
30,"Kenneth ""Ken"" Stafford",,,
27,Penny Ramsey,,,
61,Jake Billingsley,,,
37,"Ted Rogers, Jr.",,,
47,Helen Glover,,,
53,Jan Gentry,,,
46,Clay Jordan,,,
34,Brian Heidik,,,
Ryan Aiken,Survivor: The Amazon,,,
47,Janet Koth,,,
27,Daniel Lue,,,
31,JoAnna Ward,,,
41,Jeanne Hebert,,,
23,Shawna Mitchell,,,
56,Roger Sexton,,,
24,Dave Johnson,,,
35,Deena Bennett,,,
32,Alex Bell,,,
24,Christy Smith,,,
24,Heidi Strobel,,,
50,Butch Lockley,,,
24,Rob Cesternino,,,
33,Matthew von Ertfelda,,,
21,Jenna Morasca,,,
Nicole Delma,Survivor: Pearl Islands,,,
23,Ryan Shoulders,,,
22,Michelle Tesauro,,,
42,Trish Dunn,,,
28,Shawn Cohen,,,
27,Osten Taylor,,,
40,Andrew Savage,,,
31,Ryan Opray,,,
39,Rupert Boneham,,,
27,Tijuana Bradley,,,
24,Christa Hastie,,,
31,Burton Roberts,,,
22,Darrah Johnson,,,
29,"Jon ""Jonny Fairplay"" Dalton",,,
51,Lillian Morris,,,
29,Sandra Diaz-Twine,,,
Tina Wesson,Survivor: All-Stars,,,
75,Rudy Boesch,,,
22,Jenna Morasca,,,
25,Rob Cesternino,,,
42,Richard Hatch,,,
42,Sue Hawk,,,
29,Colby Donaldson,,,
30,Ethan Zohn,,,
33,Jerri Manthey,,,
40,"Alexis ""Lex"" van den Berghe",,,
49,Kathy Vavrick-O'Brien,,,
35,Alicia Calaway,,,
30,Shii Ann Huang,,,
48,Tom Buchanan,,,
40,Rupert Boneham,,,
26,Jenna Lewis,,,
28,Rob Mariano,,,
25,Amber Brkich,,,
Brook Geraghty,Survivor: Vanuatu,,,
25,"Janean ""Dolly"" Neely",,,
31,"John ""J.P."" Palyok",,,
30,Mia Galeotalanza,,,
33,Brady Finta,,,
33,"Travis ""Bubba"" Sampson",,,
44,Lisa Keiffer,,,
22,John Kenney,,,
35,Rory Freeman,,,
40,"Lea ""Sarge"" Masters",,,
35,"James ""Chad"" Crittenden",,,
35,Leann Slaby,,,
31,Ami Cusack,,,
23,Julie Berry,,,
21,Eliza Orlins,,,
59,Scout Cloud Lee,,,
41,Twila Tanner,,,
33,Chris Daugherty,,,
Jonathan Libby,Survivor: Palau,,,
55,Wanda Shirk,,,
39,Jolanda Jones,,,
22,Ashlee Ashby,,,
21,Jeff Wilson,,,
