contestant,season_number,season_name,original_tribe,tribe_color
Eric Abraham,41,41,,
Jackson Fox,42,42,,
Morriah Young,43,43,,
Bruce Perreault,44,44,,
Hannah Rose,45,45,,
David Jelinsky,46,46,,
Jon Lovett,47,47,,
Stephanie Berger,48,48,,
18,,Will Wahl,,
19,,Spencer Duhm,,
20,,"Michael ""Frosti"" Zernow",,
21,,Neleh Dennis,,
22,,Jenna Lewis,,
23,,Dirk Been,,
24,,Greg Buis,,
25,,Brandon Quinton,,
26,,Colby Donaldson,,
27,,Stacey Stillman,,
28,,Kimmi Kappenberg,,
29,,Ramona Gray,,
30,,Gervase Peterson,,
31,,JoAnna Ward,,
32,,Kel Gleason,,
33,,Hunter Ellis,,
34,,Jeff Varner,,
35,,Zoe Zanidakis,,
36,,John Carroll,,
37,,"Ted Rogers, Jr.",,
38,,Gretchen Cordy,,
39,,Richard Hatch,,
40,,Keith Famie,,
41,,Jeanne Hebert,,
42,,Teresa Cooper,,
43,,Frank Garrison,,
44,,Linda Spencer,,
45,,Jonathan Penner,,
46,,Carl Bilancione,,
47,,"Kathleen ""Kathy"" Vavrick-O'Brien",,
48,,Tom Buchanan,,
49,,Patricia Jackson,,
50,,Butch Lockley,,
51,,"Maralyn ""Mad Dog"" Hershey",,
52,,Dan Barry,,
53,,Rodger Bingham,,
54,,Yau-Man Chan,,
55,,Wanda Shirk,,
56,,Roger Sexton,,
57,,Kim Johnson,,
58,,Bruce Kanegai,,
59,,Scout Cloud Lee,,
60,,Tom Laidlaw,,
61,,Jake Billingsley,,
62,,Mike Borassi,,
63,,Dan Lembo,,
64,,"Bill ""B.B."" Andersen",,
67,,Jimmy Johnson,,
71,,Joe Del Campo,,
72,,Rudy Boesch,,
75,,Rudy Boesch,,
Amber Mariano,,Survivor: Winners at War,,
Brook Geraghty,,Survivor: Vanuatu,,
Carolina Eastwood,,Survivor: Tocantins,,
"Charlotte ""So"" Kim",,Survivor: Worlds Apart,,
Ciera Eastin,,Survivor: Game Changers,,
Darnell Hamilton,,Survivor: Kaôh Rōng,,
David Samson,,Survivor: Cagayan,,
Debb Eaton,,Survivor: The Australian Outback,,
Diane Ogden,,Survivor: Africa,,
Francesca Hogi,,Survivor: Redemption Island,,
"James ""Jim"" Lynch",,Survivor: Guatemala,,
"Jessica ""Sugar"" Kiper",,Survivor: Heroes vs. Villains,,
Jessica deBen,,Survivor: Fiji,,
John Raymond,,Survivor: Thailand,,
"Jon ""Jonny Fairplay"" Dalton",,Survivor: Micronesia,,
Jonathan Libby,,Survivor: Palau,,
Katrina Radke,,Survivor: Heroes vs. Healers vs. Hustlers,,
Kourtney Moon,,Survivor: One World,,
Marisa Calihan,,Survivor: Samoa,,
Michelle Chase,,Survivor: Gabon,,
Nadiya Anderson,,Survivor: San Juan del Sur,,
Nicole Delma,,Survivor: Pearl Islands,,
Pat Cusack,,Survivor: David vs. Goliath,,
Peter Harkey,,Survivor: Marquesas,,
Rachel Ako,,Survivor: Millennials vs. Gen X,,
Reem Daly,,Survivor: Edge of Extinction,,
Ronnie Bardah,,Survivor: Island of the Idols,,
Rupert Boneham,,Survivor: Blood vs. Water,,
Ryan Aiken,,Survivor: The Amazon,,
Sekou Bunch,,Survivor: Cook Islands,,
Semhar Tadesse,,Survivor: South Pacific,,
Sonja Christopher,,Survivor: Borneo,,
Stephanie Gonzalez,,Survivor: Ghost Island,,
"Steve ""Chicken"" Morris",,Survivor: China,,
Tina Scheer,,Survivor: Panama,,
Tina Wesson,,Survivor: All-Stars,,
Vytas Baskauskas,,Survivor: Cambodia,,
Wendy Jo DeSmidt-Kohlhoff,,Survivor: Nicaragua,,
Zane Knight,,Survivor: Philippines,,
