2025-04-21 14:11:24,386 - INFO - Found 1493 contestant images across 43 seasons
2025-04-21 14:11:24,387 - INFO - Created backup of original file at src/data/tribeData.js.backup
2025-04-21 14:11:24,388 - INFO - Season 1, Tribe Tagi: 'richard_hatch' -> 'Richard Hatch' with image
2025-04-21 14:11:24,388 - INFO - Season 1, Tribe Tagi: 'Kelly' -> 'Kelly Wiglesworth' with image
2025-04-21 14:11:24,388 - INFO - Season 1, Tribe Tagi: 'Rudy' -> 'Rudy Boesch' with image
2025-04-21 14:11:24,389 - INFO - Season 1, Tribe Tagi: 'Sean' -> 'Sean Kenniff' with image
2025-04-21 14:11:24,389 - INFO - Season 1, Tribe Tagi: 'Dirk' -> 'Dirk Been' with image
2025-04-21 14:11:24,392 - INFO - Season 1, Tribe Tagi: 'Sonja' -> 'Sonja Christopher' with image
2025-04-21 14:11:24,392 - INFO - Season 1, Tribe Tagi: 'Stacey' -> 'Stacey Stillman' with image
2025-04-21 14:11:24,392 - INFO - Season 2, Tribe Kucha: 'Michael' -> 'Michael Skupin' with image
2025-04-21 14:11:24,393 - INFO - Season 2, Tribe Kucha: 'Elisabeth' -> 'Elisabeth Filarski' with image
2025-04-21 14:11:24,393 - INFO - Season 2, Tribe Kucha: 'Rodger' -> 'Rodger Bingham' with image
2025-04-21 14:11:24,393 - INFO - Season 2, Tribe Kucha: 'Nick' -> 'Nick Brown' with image
2025-04-21 14:11:24,393 - INFO - Season 2, Tribe Kucha: 'Alicia' -> 'Alicia Calaway' with image
2025-04-21 14:11:24,393 - INFO - Season 2, Tribe Kucha: 'Jeff' -> 'Jeff Varner' with image
2025-04-21 14:11:24,393 - INFO - Season 2, Tribe Kucha: 'Kimmi' -> 'Kimmi Kappenberg' with image
2025-04-21 14:11:24,394 - INFO - Season 2, Tribe Kucha: 'Debb' -> 'Debb Eaton' with image
2025-04-21 14:11:24,394 - INFO - Season 3, Tribe Boran: 'Ethan' -> 'Ethan Zohn' with image
2025-04-21 14:11:24,394 - INFO - Season 3, Tribe Boran: 'Kim' -> 'Kim Powers' with image
2025-04-21 14:11:24,394 - INFO - Season 3, Tribe Boran: 'Lex' -> 'Lex Van Den Berghe' with image
2025-04-21 14:11:24,394 - INFO - Season 3, Tribe Boran: 'Tom' -> 'Tom Buchanan' with image
2025-04-21 14:11:24,394 - INFO - Season 3, Tribe Boran: 'Clarence' -> 'Clarence Black' with image
2025-04-21 14:11:24,395 - INFO - Season 3, Tribe Boran: 'Jessie' -> 'Jessie Camacho' with image
2025-04-21 14:11:24,395 - INFO - Season 3, Tribe Boran: 'Diane' -> 'Diane Ogden' with image
2025-04-21 14:11:24,395 - INFO - Season 4, Tribe Rotu: 'Kathy' -> 'Kathy Vavrick-obrien' with image
